1	1896	1	20	No official poster was made for the 1896 Olympic Games, but the cover page of the official report is often used to refer to the Games of the I Olympiad. The inscription "776-1896", like the drawing as a whole: the Olympic stadium in a newly designed horseshoe shape, the Acropolis, the girl personifying the goddess Athena and presenting the branch of wild olive intended for the victor, mark the bond between the Games of Antiquity and the first Games of the modern era.
2	1900	1	17	During the 1900 Universal Exhibition, certain events of international physical exercise and sports competitions were recognised as Olympic and made up the programme of the second modern Olympic Games. Several posters were created-athletics, rowing, cycling, fencing and gymnastics. Here, a female fencer holding in her right hand the three traditional weapons- foil, sword and sabre. However, it should be noted that women did not compete in the fencing competitions until 1924.
3	1904	1	45	'It shows a view of the host city, enhanced by the use of a "fish''s eye" effect. It is the reproduction of the cover of the programme of the Games.'
4	1908	1	44	'It represents the Shepherd''s Bush Olympic Stadium. Behind the high jumper, in the centre, is the swimming pool and the cinder track. It is in fact the reproduction of the cover of the Games programme.'
5	1912	1	39	It represents the parade of nations, each athlete carrying a twirling flag and all going towards a common goal- the Olympic Games. The nudity of the athletes was a reference to the Games of Antiquity, although it was judged as too "daring" by some managers and not distributed in some countries.
6	1916	1	18	
7	1920	1	4	It represents the flags of the participating nations all flying together. In the top right, the coat of arms of the organising city. In the centre, a discobolus, a reference to the Games of Antiquity. In the background, the city of Antwerp with the Tower of Notre Dame. 90,000 copies were made in 17 languages (large format).
8	1924	1	17	It shows semi-naked athletes, a reminder of Antiquity, making the Olympic salute. In the background, the flag of the French Republic. In the foreground, palm leaves, symbols of victory.
9	1924	2	17	
10	1928	1	28	It shows a runner in action holding a laurel branch, symbol of victory. In the bottom part, wavy lines in red, white and blue represent the colours of the Dutch national flag.
11	1928	2	40	It comprises the Swiss and Olympic flags with, in the background, the Corvatsch piz (mountain of the Grisons).
12	1932	1	45	The poster symbolizes the ancient custom which consisted in sending a Greek athlete to announce the celebration of the next Olympiad and to request the cessation of hostilities. The modern young sportsman presents the laurel of peace. 200,000 copies were made.
13	1932	2	45	It represents a ski jumper in the foreground. In the background, a map of the United States with Lake Placid indicated.
14	1936	1	27	A competition was held for the design of the poster, but none of the entries were satisfactory. The publicity committee commissioned different artists and finally chose the project of Mr Wurbel, that became the official poster. It features the Quadriga from the Brandenburg Gate, a landmark of the city of Berlin. In the background is the figure of a wreathed victor, his arm raised in the Olympic salute, symbolising Olympic sport. 243,000 copies were made in 19 languages and it was distributed in 34 countries.
15	1936	2	27	106,150 copies were made in 13 languages (large format) and 22,450 in German (small format).
16	1940	1	14	
17	1940	2	15	
18	1944	1	44	
19	1944	2	22	
20	1948	1	44	'It takes up the theme of the emblem i.e. the clock tower of the Houses of Parliament. The hands of the famous "Big Ben" are pointing to 4 o''clock, the time at which the opening of the Games was planned- accompanied by the Olympic rings. In the foreground, there was the drawing of the statue of the "Discobolus" (classical icon of the discus thrower from Ancient Greece). There were 100,000 copies made, 50,000 large format and 25,000 small and regular formats.'
21	1948	2	40	15,000 copies were produced.
23	1952	2	30	'The best poster was chosen through a competition. The rules stipulated that the five intertwined coloured rings had to be present and the text "VIes Jeux d''hiver - Oslo - 14 au 25 fevrier 1952" integrated in the place that was reserved for it. Knut Yran''s designs were selected. 30,000 copies were made in seven languages.'
24	1956	1	2	It is in the form of an invitation card folded three times. On the first flap, the Olympic rings, in the background of the third flap, the arms of the city of Melbourne. 35,000 copies were made in two different formats (100 x 63.5cm and 50 x 32cm).
